starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:23:15 2016	1482438195724381	1	3	4	1
Thu Dec 22 21:23:15 2016	1482438195726336	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195727313	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195728291	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195728291	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195729269	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195730247	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195731224	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195732202	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195732202	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195733181	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195734156	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195734156	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195735134	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195736111	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195736111	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195737090	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195738067	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195739044	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195740022	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195740022	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195741000	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195741976	0	6	6	5
Thu Dec 22 21:23:15 2016	1482438195742957	0	6	6	5
Thu Dec 22 21:23:15 2016	1482438195743932	0	6	6	4
Thu Dec 22 21:23:15 2016	1482438195743932	0	7	7	6
Thu Dec 22 21:23:15 2016	1482438195744910	3	4	7	2
Thu Dec 22 21:23:15 2016	1482438195748819	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195749798	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195750776	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195751782	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195752282	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195752784	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195753283	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195754283	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195754783	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195755284	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195756285	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195756784	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195757286	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195757786	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195758786	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195759787	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195760287	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195760788	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195761287	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195762288	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195762788	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195763289	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195764289	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195764790	0	4	4	2
Thu Dec 22 21:23:15 2016	1482438195765292	0	4	4	2
Thu Dec 22 21:23:15 2016	1482438195765792	0	4	4	1
Thu Dec 22 21:23:15 2016	1482438195766791	1	3	4	3
Thu Dec 22 21:23:15 2016	1482438195767792	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195768792	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195769295	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195770294	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195770794	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195771294	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195772295	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195772796	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195773797	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195774296	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195775297	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195775797	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195776300	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195777299	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195777798	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195778300	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195779299	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195779801	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195780300	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195781301	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195781801	0	3	3	1
