starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:18:36 2016	1482437916441076	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916441576	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916442076	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916443577	0	3	3	3
Thu Dec 22 21:18:36 2016	1482437916444077	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916445078	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916446079	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916446579	0	5	5	5
Thu Dec 22 21:18:36 2016	1482437916447079	1	5	6	3
Thu Dec 22 21:18:36 2016	1482437916449082	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916449581	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916451583	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916452583	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916453083	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916454584	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916455084	1	5	6	5
Thu Dec 22 21:18:36 2016	1482437916456585	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916457588	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916459087	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916459589	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916461589	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916462089	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916463093	0	6	6	5
Thu Dec 22 21:18:36 2016	1482437916464092	0	8	8	4
Thu Dec 22 21:18:36 2016	1482437916464591	1	8	9	3
Thu Dec 22 21:18:36 2016	1482437916465591	1	8	9	2
Thu Dec 22 21:18:36 2016	1482437916467594	0	8	8	6
Thu Dec 22 21:18:36 2016	1482437916469594	2	4	6	3
Thu Dec 22 21:18:36 2016	1482437916472095	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916474097	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916474599	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916475598	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916476100	1	5	6	1
Thu Dec 22 21:18:36 2016	1482437916477599	0	8	8	7
Thu Dec 22 21:18:36 2016	1482437916478100	0	8	8	7
Thu Dec 22 21:18:36 2016	1482437916478601	2	9	11	4
Thu Dec 22 21:18:36 2016	1482437916481602	0	9	9	3
Thu Dec 22 21:18:36 2016	1482437916482604	3	6	9	6
Thu Dec 22 21:18:36 2016	1482437916486105	0	6	6	5
Thu Dec 22 21:18:36 2016	1482437916486605	3	4	7	2
Thu Dec 22 21:18:36 2016	1482437916490108	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916491110	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916491609	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916492609	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916493611	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916494611	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916495111	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916496112	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916497112	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916497614	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916500115	0	4	4	3
