starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:15:07 2016	1482437707614013	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707615016	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707615516	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707616017	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707617016	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707618016	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707618519	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707619517	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707620019	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707621018	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707622019	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707622520	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707623520	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707624021	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707625022	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707625521	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707626522	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707628023	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707628523	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707629024	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707630026	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707631025	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707631525	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707633527	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707634027	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707633026	0	7	7	5
Thu Dec 22 21:15:07 2016	1482437707635027	0	6	6	4
Thu Dec 22 21:15:07 2016	1482437707635529	2	4	6	4
Thu Dec 22 21:15:07 2016	1482437707638029	0	5	5	5
Thu Dec 22 21:15:07 2016	1482437707639031	1	4	5	3
Thu Dec 22 21:15:07 2016	1482437707640031	1	4	5	4
Thu Dec 22 21:15:07 2016	1482437707641032	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707643533	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707644034	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707642033	1	5	6	3
Thu Dec 22 21:15:07 2016	1482437707645034	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707646035	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707647036	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707647537	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707648537	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707649537	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707650038	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707651039	0	10	10	10
Thu Dec 22 21:15:07 2016	1482437707651539	0	11	11	10
Thu Dec 22 21:15:07 2016	1482437707652539	1	10	11	10
Thu Dec 22 21:15:07 2016	1482437707653539	1	10	11	9
Thu Dec 22 21:15:07 2016	1482437707654542	7	3	10	3
Thu Dec 22 21:15:07 2016	1482437707661547	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707662548	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707663550	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707664548	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707665048	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707666549	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707666048	0	4	4	1
Thu Dec 22 21:15:07 2016	1482437707667549	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707668053	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707669050	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707670051	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707671552	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707672052	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707670553	0	5	5	3
Thu Dec 22 21:15:07 2016	1482437707672552	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707674053	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707673055	0	5	5	3
Thu Dec 22 21:15:07 2016	1482437707675055	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707675555	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707676056	0	7	7	6
Thu Dec 22 21:15:07 2016	1482437707678056	0	5	5	5
Thu Dec 22 21:15:07 2016	1482437707678557	0	6	6	5
